Character,Body,Tires,Glider,"Speed","Speed (Water)","Speed (Air)","Speed (Anti-Gravity)","Acceleration","Weight","Handling","Handling (Water)","Handling (Air)","Handling (Anti-Gravity)","Traction","Mini-Turbo","Invincibility"
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,1,2.25,2.25,1.75,5.5,0.75,5.75,5.25,5.75,5.75,4.25,5.75,2.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1,2,2.25,1.75,5.5,1,5.75,5.5,5.75,5.5,4,5.75,2.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,1.25,2.25,2.5,1.5,5.25,1,5.75,5.25,5.5,5.75,4.25,5.5,2.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,1.25,2,2.5,1.75,5.25,1.25,5.75,5.5,5.5,5.5,4,5.5,2.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.25,2,2,2.25,5.25,0.75,5.5,5,5.25,5.75,4,5.5,3
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.25,1.75,2,2.25,5.25,1,5.5,5.25,5.25,5.5,3.75,5.5,3
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,1.5,2,2.25,2,5,1,5.5,5,5,5.75,4,5.25,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,1.5,1.75,2.25,2.25,5,1.25,5.5,5.25,5,5.5,3.75,5.25,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.25,1.75,2.5,2,5,1,5.25,4.5,5.5,5.25,4.75,5.5,3.75
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.25,1.5,2.5,2,5,1.25,5.25,4.75,5.5,5,4.5,5.5,3.75
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Cushion,Super Glider/Waddle Wing/Hylian Kite,1.5,1.75,2.75,1.75,4.75,1.25,5.25,4.5,5.25,5.25,4.75,5.25,4
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,1.5,1.5,2.75,2,4.75,1.5,5.25,4.75,5.25,5,4.5,5.25,4
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.25,1.75,2.5,2,5,1,5.25,4.5,5.5,5.25,4.75,5.5,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.25,1.5,2.5,2,5,1.25,5.25,4.75,5.5,5,4.5,5.5,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Sponge,Super Glider/Waddle Wing/Hylian Kite,1.5,1.75,2.75,1.75,4.75,1.25,5.25,4.5,5.25,5.25,4.75,5.25,3.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,1.5,1.5,2.75,2,4.75,1.5,5.25,4.75,5.25,5,4.5,5.25,3.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.5,2.25,2.25,2.25,5,1.25,5.5,5,5.5,5.5,4.5,5.25,3.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.5,2,2.25,2.25,5,1.5,5.5,5.25,5.5,5.25,4.25,5.25,3.5
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,1.75,2.25,2.5,2,4.75,1.5,5.5,5,5.25,5.5,4.5,5,3.75
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,1.75,2,2.5,2.25,4.75,1.75,5.5,5.25,5.25,5.25,4.25,5,3.75
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Standard/Blue Standard,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.5,2.25,2.25,2.25,5,1.25,5.5,5,5.5,5.5,4.5,5.25,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Standard/Blue Standard,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.5,2,2.25,2.25,5,1.5,5.5,5.25,5.5,5.25,4.25,5.25,3.25
Baby Peach/Baby Daisy,Biddybuggy/Mr. Scooty,Standard/Blue Standard,Super Glider/Waddle Wing/Hylian Kite,1.75,2.25,2.5,2,4.75,1.5,5.5,5,5.25,5.5,4.5,5,3.5
